strike,market_price,implied_vol
23750,2361.5,0.6283308251844668
23800,2310.8,0.617276100612226
23900,2193,0.5752583478635405
24000,2116.75,0.5832025534475398
24100,1972,0.509389023623948
24200,1900,0.5227124844588014
24300,1811.7,0.5151126178656
24350,1760,0.5027883856268909
24400,1714.55,0.497182801573373
24500,1633,0.495010768006802
24550,1569.5,0.4704236986295307
24600,1505.35,0.44513475443242034
24650,1465.15,0.4444682652067268
24700,1420,0.4384794734225328
24750,1361.15,0.41883008908382063
24800,1336,0.4318861602760605
24900,1231.5,0.40517883536455135
24950,1183.45,0.3956430254302257
25000,1146.7,0.39612028624474815
25050,1084.5,0.3736387342249188
25100,1058.25,0.3826959003309752
25150,990.4,0.35540940814505717
25200,960.05,0.360120544356038
25250,898,0.3378571301584672
25300,866.55,0.3408048027704935
25350,809.95,0.3229024558321112
25400,782.25,0.32784997330678534
25450,731.2,0.31394209719586497
25500,704,0.3180556236208417
25550,633.65,0.28900625107661493
25600,621,0.30295331839779027
25650,570.45,0.2881591109189471
25700,541.15,0.2884003897742501
25750,495.9,0.27657609139360817
25800,462.05,0.27234827774174497
25850,430,0.26873973992709765
25900,399,0.26518429098104535
25950,366.15,0.2596268970403597
26000,335,0.2545155599575746
26050,310.3,0.25314640312385905
26100,279,0.2463248310090727
26150,250,0.24023158210580142
26200,228.1,0.23833381017691688
26250,203.45,0.23351497002418226
26300,181.05,0.2293624211911336
26350,159.65,0.22491964552635613
26400,141.5,0.22196883319372807
26450,124,0.2184679306358085
26500,110,0.21688591541362345
26550,96.55,0.21476729202187134
26600,82.6,0.21100321754760454
26650,70.95,0.20827669092915113
26700,63,0.2084616725102314
26750,53,0.20521449127472335
26800,47.45,0.2064077830093876
26850,39.6,0.20353223898803302
26900,34.65,0.2037386177009856
26950,29.25,0.2022355006190827
27000,26.75,0.20495008419205862
27050,22,0.20259295146495576
27100,18.95,0.20265073070592898
27150,15.85,0.20161422476703772
27200,13.6,0.20180511326036604
27250,12.4,0.20440747481385152
27300,11.45,0.207439008350337
27350,11.25,0.21276882668051134
27400,8.8,0.20954242790409922
27500,7.5,0.2152603189602756
27550,8.3,0.22448895083125125
27600,7.1,0.22440620283704632
27650,6.65,0.2275487825985067
27700,6.3,0.2310356908733882
27750,7.4,0.24228430512535384
27800,5.8,0.23873469091406457
27900,4.8,0.24252651413889229
27950,4.2,0.24309082100044188
